Epoch,Total Loss,IoU Loss,AP(0.5:0.95),AP@50,AR
1,4.0133,2.1114,0.492,0.999,0.583
2,1.3899,0.6803,0.695,0.990,0.763
3,0.8846,0.4377,0.722,0.990,0.778
4,1.1069,0.5701,0.713,0.990,0.759
5,0.6023,0.2937,0.741,0.990,0.785
6,0.7259,0.3724,0.752,0.990,0.799
7,0.717,0.3737,0.778,0.990,0.827
8,0.7976,0.4001,0.788,0.990,0.838
9,0.7968,0.3986,0.797,0.990,0.848
10,0.6194,0.3233,0.798,0.990,0.849
11,0.9112,0.491,0.802,0.990,0.845
12,0.885,0.455,0.804,0.990,0.844
13,0.7548,0.3743,0.815,0.990,0.857
14,0.6295,0.3287,0.813,0.990,0.853
15,0.6864,0.3601,0.815,0.990,0.859
16,0.83,0.4211,,,
1,4.3085,2.1365,0.478,0.856,0.761
2,1.445,0.6665,0.587,0.980,0.665
3,0.9356,0.4391,0.541,0.990,0.648
4,1.0513,0.5209,0.603,0.980,0.698
5,1.0393,0.4844,0.600,0.980,0.692
6,0.9116,0.4703,0.593,0.980,0.687
7,0.8432,0.4304,0.595,0.990,0.690
8,0.9456,0.4819,0.584,0.990,0.679
9,1.0176,0.5073,0.592,0.980,0.687
10,1.6266,0.5655,0.602,0.965,0.694
11,1.4801,0.7181,0.606,0.971,0.698
12,0.7631,0.3759,0.605,0.990,0.695
13,0.6934,0.3341,0.599,0.990,0.693
14,1.1845,0.559,0.604,0.990,0.695
15,0.8696,0.4374,0.605,0.971,0.700
16,0.8688,0.4375,0.620,0.990,0.704
17,0.7819,0.3989,0.613,0.990,0.702
18,0.8885,0.4267,0.609,0.990,0.697
19,0.8967,0.4707,,,
